
::> [0   	:  run/Start]
::> [28   	:  depth >> nextExpansionSize]
::> [2801   	:  143	 --> Move(o4,o5)]
::> [2801   	:  144	 --> Move(o5,o6)]
::> [2801   	:  145	 --> Push(H,o6,o5)]
::> [2801   	:  146	 --> Move(o5,o6)]
::> [2801   	:  147	 --> CleanOffice(o6)]
::> [2801   	:  148	 --> Move(o6,o3)]
::> [2801   	:  149	 --> Push(F,o3,o6)]
::> [2801   	:  150	 --> Move(o6,o3)]
::> [2802   	:  151	 --> CleanOffice(o3)]
::> [2802   	:  152	 --> Move(o3,o2)]
::> [2802   	:  153	 --> Push(D,o2,o3)]
::> [2802   	:  154	 --> Move(o3,o2)]
::> [2802   	:  155	 --> CleanOffice(o2)]
::> [2802   	:  156	 --> Move(o2,o5)]
::> [2802   	:  157	 --> Push(H,o5,o2)]
::> [2802   	:  158	 --> Move(o2,o5)]
::> [2802   	:  159	 --> CleanOffice(o5)]
::> [2802   	:  best match: 0 differences]
::> [2802   	:  skipped:    84789 repeated states]
::> [2802   	:  skipped:    28404 looping states]
::> [2802   	:  total:      25389 states]
::> [2802   	:  report/Finish]
